city,station,CO,NH3,NO2,O3,PM10,PM25,SO2
Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",18.0,2.0,29.0,50.0,39.0,26.0,6.0
Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",19.0,1.0,11.0,38.0,45.0,50.0,
Bengaluru,"Jigani, Bengaluru - KSPCB",40.0,4.0,23.0,26.0,67.0,45.0,22.0
Bengaluru,"Peenya, Bengaluru - CPCB",32.0,3.0,25.0,28.0,61.0,28.0,10.0
Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,4.0,24.0,29.0,57.0,50.0,
Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",,,,26.0,,,
Bengaluru,"Silk Board, Bengaluru - KSPCB",54.0,5.0,20.0,19.0,118.0,50.0,13.0
Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",34.0,,,11.0,,,12.0
Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",34.0,,12.0,18.0,,,33.0
Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",91.0,,,34.0,,,
Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",42.0,,19.0,115.0,103.0,28.0,9.0
Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",,4.0,56.0,9.0,71.0,83.0,6.0
Bhilai,"32Bungalows, Bhilai - CECB",18.0,3.0,16.0,52.0,53.0,38.0,23.0
Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",26.0,1.0,13.0,18.0,,34.0,8.0
Bhilai,"Hathkhoj, Bhilai - CECB",40.0,5.0,38.0,15.0,61.0,37.0,24.0
Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",,,,67.0,,46.0,
Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",37.0,12.0,43.0,,151.0,115.0,13.0
Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",33.0,,37.0,61.0,169.0,,
Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",32.0,5.0,20.0,39.0,62.0,44.0,8.0
Bhiwani,"H.B. Colony, Bhiwani - HSPCB",,,15.0,16.0,,,
Bhopal,"Idgah Hills, Bhopal - MPPCB",28.0,5.0,24.0,37.0,128.0,45.0,15.0
Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",25.0,5.0,12.0,28.0,100.0,34.0,19.0
Bhopal,"T T Nagar, Bhopal - MPPCB",28.0,,,81.0,126.0,41.0,17.0
Bhubaneswar,"Patia, Bhubaneswar - OSPCB",43.0,21.0,6.0,64.0,81.0,41.0,6.0
Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",62.0,3.0,9.0,2.0,38.0,56.0,8.0
Bikaner,"MM Ground, Bikaner - RSPCB",56.0,7.0,87.0,67.0,136.0,40.0,9.0
Bilaspur,"Mangala, Bilaspur - NTPC",99.0,,45.0,,127.0,180.0,17.0
Bileipada,"Tata Township, Bileipada - OSPCB",23.0,5.0,14.0,16.0,91.0,106.0,15.0
Boisar,"Khaira, Boisar - MPCB",13.0,5.0,22.0,27.0,46.0,53.0,14.0
Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",81.0,10.0,48.0,58.0,148.0,124.0,22.0
Bundi,"New Colony, Bundi - RSPCB",61.0,16.0,29.0,58.0,78.0,,5.0
Buxar,"Charitra Van, Buxar - BSPCB",25.0,3.0,9.0,69.0,40.0,45.0,31.0
Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",55.0,,,76.0,,,
Byrnihat,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",30.0,,,,158.0,,
Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",50.0,4.0,,31.0,94.0,126.0,
Chamarajanagar,"Urban, Chamarajanagar - KSPCB",24.0,2.0,27.0,29.0,47.0,34.0,4.0
Chandigarh,"Sector 22, Chandigarh - CPCC",78.0,10.0,14.0,100.0,55.0,36.0,15.0
Chandigarh,"Sector-25, Chandigarh - CPCC",24.0,11.0,20.0,48.0,85.0,68.0,13.0
Chandrapur,"Chauhan Colony, Chandrapur - MPCB",28.0,2.0,34.0,17.0,100.0,59.0,7.0
Chandrapur,"MIDC Khutala, Chandrapur - MPCB",39.0,5.0,14.0,95.0,74.0,63.0,7.0
Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",12.0,6.0,,29.0,84.0,107.0,10.0
Chennai,"Arumbakkam, Chennai - TNPCB",,5.0,18.0,,87.0,,3.0
Chennai,"Kodungaiyur, Chennai - TNPCB",29.0,4.0,,30.0,60.0,47.0,6.0
Chennai,"Manali Village, Chennai - TNPCB",28.0,5.0,,,43.0,27.0,12.0
Chennai,"Manali, Chennai - CPCB",,6.0,,25.0,,40.0,15.0
Chennai,"Perungudi, Chennai - TNPCB",41.0,,7.0,6.0,83.0,44.0,4.0
Chennai,"Royapuram, Chennai - TNPCB",53.0,,14.0,31.0,,40.0,5.0
Chennai,"Velachery Res. Area, Chennai - CPCB",,3.0,14.0,12.0,72.0,,
Chhal,"Nawapara SECL Colony, Chhal - CECB",29.0,5.0,17.0,22.0,93.0,60.0,14.0
Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",39.0,1.0,4.0,52.0,38.0,24.0,14.0
Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",44.0,,,19.0,,,
Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",21.0,,,58.0,,,
Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",,7.0,12.0,103.0,107.0,62.0,
Churu,"Subash Chowk, Churu - RSPCB",,7.0,9.0,,,42.0,5.0
Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",6.0,4.0,,,22.0,15.0,25.0
Cuddalore,"Semmandalam, Cuddalore - TNPCB",,,,,58.0,,
Cuttack,"CDA Area, Cuttack - OSPCB",26.0,2.0,16.0,56.0,37.0,23.0,6.0
Dausa,"Khatikan Mohalla, Dausa - RSPCB",76.0,8.0,31.0,64.0,127.0,47.0,4.0
Dehradun,"Doon University, Dehradun - UKPCB",21.0,,,96.0,108.0,86.0,2.0
Delhi,"Alipur, Delhi - DPCC",31.0,11.0,44.0,28.0,227.0,173.0,20.0
Delhi,"Anand Vihar, Delhi - DPCC",28.0,4.0,119.0,33.0,269.0,223.0,31.0
Delhi,"Ashok Vihar, Delhi - DPCC",43.0,7.0,55.0,45.0,195.0,172.0,42.0
Delhi,"Aya Nagar, Delhi - IITM",89.0,,25.0,54.0,155.0,138.0,
Delhi,"Bawana, Delhi - DPCC",38.0,5.0,29.0,36.0,237.0,189.0,32.0
Delhi,"Burari Crossing, Delhi - IITM",65.0,,35.0,121.0,193.0,149.0,
Delhi,"CRRI Mathura Road, Delhi - IITM",42.0,,16.0,48.0,193.0,156.0,
Delhi,"Cantonment Area, Delhi - DPCC ",64.0,1.0,22.0,36.0,96.0,121.0,37.0
Delhi,"Chandni Chowk, Delhi - IITM",84.0,15.0,68.0,95.0,125.0,126.0,94.0
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",,5.0,78.0,75.0,156.0,139.0,17.0
Delhi,"DTU, Delhi - CPCB",22.0,,38.0,,,156.0,31.0
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",42.0,9.0,72.0,46.0,,,24.0
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",43.0,18.0,79.0,46.0,,176.0,37.0
Delhi,"IGI Airport (T3), Delhi - IITM",47.0,,87.0,58.0,189.0,160.0,
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",55.0,2.0,55.0,43.0,221.0,165.0,36.0
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",23.0,,,10.0,108.0,130.0,22.0
Delhi,"IIT Delhi, Delhi - IITM",36.0,,24.0,36.0,187.0,116.0,
Delhi,"IMD Lodhi Road, Delhi - IITM",16.0,,24.0,93.0,172.0,125.0,
Delhi,"ITO, Delhi - CPCB",50.0,4.0,60.0,62.0,147.0,127.0,15.0
Delhi,"JNU, Delhi - DPCC",35.0,2.0,43.0,51.0,149.0,117.0,38.0
Delhi,"Jahangirpuri, Delhi - DPCC",53.0,14.0,83.0,46.0,263.0,168.0,25.0
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",87.0,,,58.0,,,
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",68.0,18.0,96.0,15.0,181.0,128.0,30.0
Delhi,"Mandir Marg, Delhi - DPCC",29.0,4.0,55.0,49.0,168.0,95.0,25.0
Delhi,"Mundka, Delhi - DPCC",80.0,5.0,128.0,23.0,297.0,207.0,23.0
Delhi,"NSIT Dwarka, Delhi - CPCB",61.0,,52.0,141.0,,,25.0
Delhi,"NSUT Jaffarpur, Delhi - DPCC",38.0,6.0,25.0,77.0,179.0,180.0,61.0
Delhi,"Najafgarh, Delhi - DPCC",10.0,7.0,48.0,50.0,151.0,128.0,33.0
Delhi,"Narela, Delhi - DPCC",40.0,8.0,32.0,11.0,234.0,198.0,25.0
Delhi,"Nehru Nagar, Delhi - DPCC",71.0,7.0,72.0,43.0,206.0,146.0,31.0
Delhi,"North Campus, DU, Delhi - IITM",70.0,,122.0,113.0,175.0,123.0,
Delhi,"Okhla Phase-2, Delhi - DPCC",54.0,,70.0,33.0,191.0,117.0,
Delhi,"Patparganj, Delhi - DPCC",57.0,,75.0,46.0,194.0,118.0,19.0
Delhi,"Punjabi Bagh, Delhi - DPCC",56.0,3.0,,46.0,180.0,143.0,29.0
Delhi,"Pusa, Delhi - DPCC",81.0,18.0,120.0,34.0,203.0,115.0,
Delhi,"Pusa, Delhi - IITM",33.0,,,120.0,165.0,134.0,
Delhi,"R K Puram, Delhi - DPCC",72.0,7.0,72.0,33.0,197.0,169.0,15.0
Delhi,"Rohini, Delhi - DPCC",42.0,6.0,44.0,34.0,231.0,189.0,27.0
Delhi,"Shadipur, Delhi - CPCB",56.0,6.0,60.0,38.0,233.0,293.0,11.0
Delhi,"Sirifort, Delhi - CPCB",27.0,9.0,28.0,28.0,179.0,132.0,34.0
Delhi,"Sonia Vihar, Delhi - DPCC",81.0,7.0,44.0,55.0,183.0,118.0,32.0
Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.0,6.0,54.0,33.0,147.0,102.0,24.0
Delhi,"Talkatora Garden, Delhi - DPCC",46.0,4.0,24.0,67.0,,,42.0
Delhi,"Vivek Vihar, Delhi - DPCC",71.0,10.0,85.0,56.0,188.0,110.0,17.0
Delhi,"Wazirpur, Delhi - DPCC",71.0,,,45.0,247.0,,22.0
Dewas,"Bhopal Chauraha, Dewas - MPPCB",39.0,4.0,94.0,12.0,115.0,,31.0
